Region,Formation,Member,AgeEnd,AgeEarly,Supporting References,Notes,Other age details or opinions,Correlation,Other opinions on correlations
Bahamas,Grotto Beach,,0.12,0.135,Hearty and Kindler 1993,,"Phase II/1 through II/5, 0.135 to 0.12 Ma, Sangamonian (Hearty and Kindler 1993). Phase II/5 date given as 120 ka.",Correlates with Rocky Bay fm in Bermuda (Hearty and Vacher 1994),
Bahamas,Fortune Hill,,0.132,0.205,Hearty and Kindler 1993,,"Phase I/2, Mid-Pleistocene, less than 205 ka (Hearty and Kindler 1993). Age of II/1-2 given as ca 132 ka.",Correlates with Belmont Fm in Bermuda (Hearty and Vacher 1994),
Bahamas,Owl's Hole,,0.18,0.385,Hearty and Kindler 1993,,"Phase I/1, Mid-Pleistocene, maximum age of 385 ka (Hearty and Kindler 1993). Age of Phase I given as 350-180 ka.",Correlates with Belmont Fm in Bermuda (Hearty and Vacher 1994),
Bahamas,Hunt's Cave,,0.3,0.35,"Hearty and Vacher 1994, Hearty and Kindler 1995",,Age range based on aminozone and correlation with Upper Town Hill fm in Bermuda.,Correlates with Upper Town Hill fm in Bermuda (Hearty and Vacher 1994),
Bahamas,Goulding Cay East,,0.35,0.423,Hearty and Vacher 1994,,Age range based on aminozone and correlation with Town Hill fm in Bermuda.,Correlates with Town Hill fm in Bermuda (Hearty and Vacher 1994),
Barbados,Middle Coral Rock,,0.127,0.484,Poole and Barker 1983,See Harper and Donovan publications too,PBDB cites Poole and Barker 1983 for age range of 0.127-0.484 Ma.,,
Belize,Ambergris Caye,,0.08,0.14,"Gischler 2007, Macintyre and Toscano 2004, Mazzullo 2006","There are not formal lithological units. However, samples from the barrier and atoll reefs all lie within the same age range.","Gischler (2007) reviews all past isotope dates for Belize and contends that the trustworthy ages all indicate a stage 5 deposition (140-80 ka, Sangamon). Macintyre and Toscano question the integrity of Gischler's earlier (2000) dates, but agree with the general conclusion of deposition at the 125 ka Sangamon highstand. Mazzullo (2006) agrees wtih the age as well, and name these fossiliferous deposits the Ambergris Caye lmst (although conceding that the lowest part may be of equivocal Pleistocene age.",,
Belize,Airstrip,,0.14,2.58,Mazzullo 2006,Mazzullo (2006) named the unit for the top part of the subsurface Belize fm.,Age is 'equivocal' within the Pleistocene (Mazzullo 2006).,"Lower bound is the Belize Unconformity, which Mazzullo (2006) placed at the Plio-Pleistocene boundary.",
Belize,Belize,Undifferentiated,2.58,34,Mazzullo 2006,,Mazzullo (2006) discusses this unit; it seems to encompass the informal Orange Walk and Red Bank groups that were previously the only stratigraphic units described from Belize above the Cenozoic unconformity.,,
Belize,Belize,San Pedro,2.58,3,Mazzullo 2006,,"The San Pedro and San Pablo mbrs of the upper Belize fm are upper Pliocene; the age of the contact between them is unknown. However, the stratigraphic log and discussion give them impression that the San Pablo may have a longer duration, so the boundary is put slightly above the midpoint of the Piacenzian in this correlation.","Top bound is the Belize Unconformity, which Mazzullo (2006) placed at the Plio-Pleistocene boundary.",
Belize,Orange Walk,,2.58,23,"King et al 2003, 2004","Informal unit, includes the San Lorenzo, Louisville, Orange Walk (sensu stricto), Corozal, and Ambergris units.","King et al (2003, 2004) review and re-describes the Orange Walk group, an informal collection of the transitional units. The first description of the units split them into 5 fms (Flores 1952) but subsequent workers realized that the named formations represented lateral facies instead, and referred to the group as a single unit. The top of the group is the Ambergris coral limestone, which Mazzullo 2006 separated and named.",Conformably overlies the Oligo-Miocene Red Bank group.,
Belize,Belize,San Pablo,3,3.6,Mazzullo 2006,,"Mazzullo (2006) attributed lower part of the San Pablo mbr in the Airstrip Well to the basal Late Pliocene, foraminifera. N20 (3.5-2.5 Ma). The San Pedro and San Pablo mbrs of the upper Belize fm are upper Pliocene; the age of the contact between them is unknown. However, the stratigraphic log and discussion give them impression that the San Pablo may have a longer duration, so the boundary is put slightly above the midpoint of the Piacenzian in this correlation.",,
Bermuda,Southampton,,0.071,0.085,Hearty and Vacher 1994,,"Deposited during last interglacial, Isotope stage 5, Sangamonian (Land et al 1967). Hearty andVacher 1994 Fig 4 gives date range of 105-80 ka, Aminozone C. Hearty and Kaufman 2000 revised the age of aminozone C to be 0.076-0.108 under APK calibration model.",,
Bermuda,Rocky Bay,,0.118,0.128,Hearty and Vacher 1994,,"Deposited during last interglacial, Isotope stage 5, Sangamonian (Land et al 1967). Hearty andVacher 1994 Fig 4 gives date range of 135-118 ka, aminozone E. Hearty and Kaufman 2000 revised the age of aminozone E to be 125 ky under APK calibration model, or 118-128 ka MIS age.",,"Deposited over 2 or likely 3 pulses, a 10-15 ky duration (Hearty and Vacher 1994)."
Bermuda,Belmont,,0.186,0.245,"Harmon et al 1978, Hearty and Vacher 1994",,"Harmon et al 1978 date is 195 ka.  Hearty andVacher 1994 Fig 4 gives date range of 240-180 Ma, aminozone F. Hearty and Kaufman 2000 revised the age of aminozone F to be245-186 ka.",,
Bermuda,Town Hill,Undifferentiated,0.3,0.5,Hearty and Vacher 1994,,See age ranges for upper and lower units.,,
Bermuda,Town Hill,Upper,0.3,0.35,Hearty and Vacher 1994,," Hearty andVacher 1994 Fig 4 gives date range of 350-300 ka, aminozone G. ",,
Bermuda,Town Hill,Lower,0.4,0.423,Hearty and Vacher 1994,," Hearty andVacher 1994 Fig 4 gives date range of 500-400 ka, aminozone H. Hearty and Kaufman 2000 revised the age of aminozone G and H (combined) to be 303-423 ka.",,
Bermuda,Walsingham,,0.8,1.1,Hearty and Vacher 1994,," Hearty andVacher 1994 Fig 4 gives date range of 0.8-1.1 Ma, aminozone J/K.",,
Canouan,Canuouan,,13.8,16,"Westercamp et al 1985, Speed et al 1993",Speed et al described upper and lower (unnamed) units on the island of Canouan; these are mainly volcanigenic.,"Early Middle Miocene (N5 foram zone, ca. 16.5 Ma), as reviewed by Speed et al (1993); original dates from Westercamp et al 1985.",,
Carriacou,Grand Bay,,13,15,Speed et al 1993; Donovan et al 2003; Donovan and Harper 1999,,"See Donovan et al 2003 for review of the following key evaluations: Trechmann 1935 (in Harland et al 1990, p 65) considered the unit Brudigalian; Martin-Kaye 1958 p 401, basal Serravallian; Jung 1971 p 161, low Middle Miocene; Robinson and Jung 1972 p 125, N9-N11, upper Langhian to lower Serravallian. Speed et al 1993 combine their foram dates with those of Robinson and Jung 1972 to establish zonal age dates of NN5-NN7, Langhian to Serravallian, definitely older than 11 Ma, estimated at 12.7-15.5 Ma in log section but top boundary discussed as 13 Ma in text.","Donovan et al 2008 proposed that the uppermost unit of Carriacou, the Grand Bay fm, was deeper water and so must lie on an unconformity.",
Carriacou,Carriacou,,15,17.5,Speed et al 1993,"There are allogenic and infaunal fossils, a mix of 'subtidal or lagoonal accumulations' and turbidity deposits (Speed et al 1993, p 54). Speculative transport distance is on the order of kilometers (p 89).",Speed et al 1993 combine their foram dates with those of Robinson and Jung 1972 to establish zonal age dates of NN4 to NN5. Stratigraphic correlation constrains the age range from N6 to N10.,"The Belmont underlies Kendeace underlies the Carriacou fm, a shallowing-upward succession. Donovan et al 2008 proposed that the uppermost unit, the Grand Bay fm, was deeper water and so must lie on an unconformity.",
Carriacou,Kendeace,,15,28,Speed et al 1993,"Speed et al 1993 elevated the Kendeace mbr of the Belmont (Robinson and Jung 1972) to a fm. The mostly sandstone unit contains some skeletal material. In addition,  'Some large bivalves, including oysters, are whole and little abraded and are possibly infaunal.' p. 53, Speed et al 1993. ",The zonal age is within NN3 to NN5. Stratigraphic correlation constrains the age to be NP25 or younger and mid-NN5 or older. Speed et al fig 9b plots the fm from ca 15-28 Ma.,"The Kendeace overlies the Belmont. There is a local unconformity between them, but Speed et al (1993) 'affirm that at least a part of the Belmont, and the Kendeace, Carriacou, and Grand Bay Formations compose a structurally continuous Miocene succession' and might be a continuous depositional succession. The Kendeace is subajacent to the Carriacou fm; the contact is conformable.",
Carriacou,Belmont,,18,21,Speed et al 1993; Donovan and Harper 1999; Donovan et al 2003,"Fossil beds with shallow-water species are allochthonous due to downslope transport in a turbidity flow (Donovan and Harper 1999; Donovan et al 2003; Speed et al 1993). Speculative transport distance is on the order of kilometers (p 89, Speed et al 1993).","Speed et al (1993) split the Belmont into units: Belmont A and B, and undifferentiated. Only unit B has the only beds that have been dated (NN2 to NN3). Basalt beds from unit gave a K-Ar whole-rock date of 18.1 +/- 0.5, probably reflecting a syndepositional eruption, but non-basalt rocks could be younger. The age range for unit A includes large uncertainty; it could be as old as 28 Ma or as young as ca 15.5 (Speed et al 1993 fig 9b). Unit A is coarse, largely volcanigenic, and with only fragmentary fossils. Unit B contains whole macrofossils and is constrained from ca 22-18 Ma. Undifferentiated rocks are those that have been assigned to Belmont but poorly studied; face-value observations note similarity to unit B. The unconformity below the Belmont has an estimated range from ca 23-21 Ma (fig 27).","A large hiatus separates the Belmont from the underlying Belvedere fm, a middle Eocene to upper Oligocene unit defined by Speed et al 1993. There is also an unconformity at the top of the Belmont, below the Kendeace and Carriacou fms, but Speed et al (1993) 'affirm that at least a part of the Belmont, and the Kendeace, Carriacou, and Grand Bay Formations compose a structurally continuous Miocene succession' and might be a continuous depositional succession.",
Cayman Islands,Ironshore,,0.118,0.425,"Vezina et al 1999, Woodroff et al 1983",,"Corals have been dated with Th/U at 121, 124, 118, 134 ka with uncertainties of 6-9 ka (Woodroffe et al 1983). Vezina et al 1999 speculate that sedimentation started with the transgression at 425 ka, and note that sea level was high until 114.",,
Colombia,San Luis,,0.033,0.125,Diaz and Garcia-Llano 2010,Not to be confused with the San Luis fm in Venezuela,"Diaz and Garcia-Llano 2010 review previous estimates, 26-33 ka, or as old as 100 ka. They note a correlation with the Ironshore, Falmouth and Aruba and Curacao units (Sangamonian interglacial). See discussion for those units; the date of the interglacial is older than 100 ka.",The San Luis reefs encircle the Neogene San Andres fm (a former atoll).,
Colombia,Guayabo,,2.7,10.5,"Cooper et al 1995, Adriessen et al. 1994",Mollasse sequences from the eastern branch of the Colombian Andes; 'coarse continental clastics'  observed Cooper et al.,"Panama collided at ca 10.5 Ma, causing both the orogeny that provided sediment and the inversions that created accommodation space. The Guayabo sediments collected from 10-2 Ma (Cooper et al 1995). Main uplift halted at 2.7 Ma, flora indicate (Adriessen et al. 1994).",Correlates with Honda and Real groups; same depositional sequences (Cooper et al 1995).,"Villamil 1999 claims to draw on and agree with Cooper's hypothesis for basin evolution, but plots the Guayabo as an older unit (very coarsely around 15-20 Ma), with another molasse unit, Necessidad, overlying."
Colombia,Ware,,2.8,3.5,"Hendy et al 2015, Moreno et al 2015",Described in Moreno et al 2015. Outcrops in Cocinetas Basin.,"Hendy et al calculated a mean age of 3.2 (3.40-2.78) for the top shell bed in the Ware, using Sr isotopes. Moreno et al 2015 combine biostratigraphy with Sr isotopic dates to claim the age range is 2.8-3.5 Ma. Latest Pliocene (Piacenzian) or possibly ranging into the early Pleistocene.",The unit represents deposition after a long hiatus (3.5-14.5 Ma). The Castilletes lies below the unconformity.,
Colombia,San Andrés,,4,8,Diaz and Garcia-Llano 2010,,Diaz and Garcia-Llano 2010 review previous estimates (none quantitative) and use newly collected mollusk specimens to estimate the age as 4-8 Ma.,,Strong faunal affinity with the younger Bowden fm (Diaz and Llano 2010)
Colombia,Munguido,,4.8,7.1,"Duque Caro 1990, Coates et al 2004","Duque-Caro 1990 named the Munguido; it was previously the Upper Sierra. Atrato Valley, which received Pliocene deposits (the Darien did not)","Youngest possible age is 2.8, but 3.4 more likely; base is in late Miocene zone N17 (Duque-Caro 1990). Coates et al 2004 report that no deposits in the Atrado basin are younger than 4.8; their range in a correlation chart is ca 4.8-7.1.",,
Colombia,Sierra,Upper,4.8,7.1,Duque Caro 1990,"Duque-Caro 1990 named the Munguido; it was previously the Upper Sierra. Atrato Valley, which received Pliocene deposits (the Darien did not)","Youngest possible age is 2.8, but 3.4 more likely; base is in late Miocene zone N17 (Duque-Caro 1990). Coates et al 2004 report that no deposits in the Atrado basin are younger than 4.8; their range (for Munguido fm) in a correlation chart is ca 4.8-7.1.",,
Colombia,Sierra,Lower,7.1,12.2,Duque Caro 1990,"Duque-Caro 1990 named the Munguido; it was previously the Upper Sierra. Atrato Valley, which received Pliocene deposits (the Darien did not)","Middle Miocene zone N13 to early part of late Miocene zone N17 (Duque-Caro 1990). From Barron et al 1985's microfossil chronology, that sets bounds of ca 12.3 to 5.3. Coates et al 2004 correlation chart, supposedly based on Duque-Caro 1990, plots the range at ca 7.1-12.2.",,
Colombia,Sierra,Undifferentiated,7.1,12.2,"Duque Caro 1990, Coates et al 2004","Duque-Caro 1990 named the Munguido; it was previously the Upper Sierra. Atrato Valley, which received Pliocene deposits (the Darien did not)","Middle Miocene zone N13 to early part of late Miocene zone N17 (Duque-Caro 1990). From Barron et al 1985's microfossil chronology, that sets bounds of ca 12.3 to 5.3. Coates et al 2004 correlation chart, supposedly based on Duque-Caro 1990, plots the range at ca 7.1-12.2.",,
Colombia,Léon,,10.5,16,Cooper et al 1995,Fine shallow marine facies.,"The unit called Léon in Colombia is much younger than the one called Léon in Venezuela, which is Oligocene.",,"There was a deep-sea hiatus NH3 from 12.9-11.8 Ma (Keller and Barron 1987), which would have fallen in the middle of Leon deposition."
Colombia,Naipipi,,13.7,15.1,"Duque Caro 1990, Coates et al 2004",,"Earliest middle Miocene zone N9 to middle Miocene zone N11, and a hiatus in the region (NH 2) from 15.1-16.1 Ma (Duque-Caro 1990). From Barron et al 1985's microfossil chronology, that sets bounds of ca 14.6-15.2 and 13.7-14.2. Coates et al 2005 plotted the range as ca 12.5-15 Ma, supposedly based on Duque-Caro 1990. Overlies the Uva, which extends into the Oligocene.",,
Colombia,Castilletes,,14.2,16.7,Moreno et al 2015,"Outcrops in Cocinetas Basin. According to Moreno et al, Rollins (1965) gave the Tucacas fm the new name Castilletes during redescription.","Moreno et al 2015 did extensive field, isotope, and paleontological work to calculate an age range  of 14.2-16.7 Ma.",Conformably underlies the Jimol.,
Colombia,Providencia,,15,22,Diaz and Garcia-Llano 2010,,"Diaz and Garcia-Llano 2010 do not study this unit directly, but compare units from the neighboring island of San Andres. They cite Budd et al 1996 book for an age of 22-15 Ma.",,
Colombia,Jimol,,16.7,17.9,Moreno et al 2015,Outcrops in Cocinetas Basin.,"Moreno et al 2015 did extensive field, isotope, and paleontological work to calculate an age range  of 16.7-17.9 Ma.",Conformably overlies the Castilletes. Invertebrate faunal are similar to those of Cantaure (Venezuela) and Culebra (Panam) fms.,
Colombia,Uitpa,,17.9,23,Moreno et al 2015,Outcrops in Cocinetas Basin.,,"Overlies Siamana, underlies Jimol fms. Correlates almost exactly with the Agua Clara fm.",
Connecticut,Berlin Clay,,0.01,0.781,Flint 1933,Upper Pleistocene,,,
Connecticut,Lake Chamberlain,,0.01,2.58,Flint 1961,A Pleistocene glacial till,,,
Costa Rica,Moin,Undifferentiated,0.9,2.8,McNeill et al 2000,"Cangrejos Creek is a section, not a formal member",McNeill et al 2000 review all work on the fm and give a range of 0.9-1.5 Ma for 'all or the majroity of the forereef facies of the Cangrejos Creek section'. They suggest that Pliocene fossils are only present because of reworking.,,
Costa Rica,Moin,Cangrejos Creek,0.9,1.5,McNeill et al 2000,"Cangrejos Creek is a section, not a formal member",McNeill et al 2000 review all work on the fm and give a range of 0.9-1.5 Ma for 'all or the majroity of the forereef facies of the Cangrejos Creek section'. They suggest that Pliocene fossils are only present because of reworking.,,Johnson et al (2007) give a median age of 1.55 Ma for the Cangrejos faunule of Limon basin that they collected for NMiTA.
Costa Rica,Moin,Lomas del Mar,1.1,2.2,McNeill et al 2000,,McNeill et al 2000 review all work on the fm. They plot the section from 1.1 to 2.2 Ma in fig 14.,,Johnson et al (2007) give a median age of 1.7 Ma for the Lower Lomas del Mar East (non reef) faunule from the Limon basin that they sampled for NMiTA.
Costa Rica,Moin,Empalme,1.1,2.2,McNeill et al 2000,,"McNeill et al 2000 review all work on the fm. They state that there are no good age constraints for the Empalme reef. However, Johnson et al (2007) give the same median ages (1.6 Ma) for both the Lomas del Mar (reef part) and Empalme faunules. Therefore, the age range for the Empalme in this correlation matches given by McNeill et al for the Lomas.",,Johnson et al (2007) give a median age of 1.7 Ma for the Lower Lomas del Mar East (non reef) faunule from the Limon basin that they sampled for NMiTA.
Costa Rica,Paso Real,Undifferentiated,2,3.6,"Mead et al 2005, Kesel 1983","The so-called Paso Real in Costa Rica is Pliocene, but in Cuba is Miocene.","late Pliocene to earliest Pleistocene, ca 2 Ma (CR) (Mead et al 2006).",,
Costa Rica,Moin,Pueblo Nuevo Sand,2.3,2.8,McNeill et al 2000,,"McNeill et al 2000 review all work on the fm. They suggest a late Pliocene age (nothing more specific) for this unit based on stratigraphic relationships, but plot it at ca 2.3-2.8 in correlation fig 15.",,
Costa Rica,Rio Banano,Undifferentiated,2.58,5.2,"Coates et al 2005, McNeill et al 2000","There are no formal divisions, but the sections are somewhat split into upper, middle, lower.",McNeill et al 2000 review all work on the fm.,,
Costa Rica,Rio Banano,Upper,2.58,3.1,"Coates et al 2005, McNeill et al 2000",,McNeill et al 2000 review all work on the fm.,,
Costa Rica,Quebrada Chocolate,,3,3.6,McNeill et al 2000,Includes Buenos Aires member,Late Zanclean (Coates et al 2005). Latest early Pliocene to earliest late Pliocene; best estimate of lower bound is 3.6 Ma based on all available forms of evidence; younger bound ranges to 3 Ma (McNeill et al 2000).,Overlies the Rio Banano and underlies the Moin; 'partly coeval with the upper part of the rio Banano Formation in the Banano River region' (McNeill et al 2011).,Johnson et al (2007) give a median age of 3.5 Ma for the Chocolate Buenos Aires faunule of the Limon basin that they sampled for NMiTA.
Costa Rica,Rio Banano,Lower,3.45,5.2,"Coates et al 2005, McNeill et al 2000",,McNeill et al 2000 review all work on the fm.,,
Costa Rica,Vaca,,3.6,5.3,Herbert 2004,,Early Pliocene (Herbert 2004),,
Costa Rica,Curre,,5.3,11.6," Laurito et al 2008, Laurito and Valerio 2008",Terrestrial. Curre fm is part of Terraba grp.,"PBDB age data is 11.6-5.3 based on Laurito et al 2008 and Laurito and Valerio 2008, who say Upper Miocene.",Overlies the Oligo-Miocene Terraba fm,
Costa Rica,Uscari,,5.5,21.2,"Bottazzi et al 1994, Coates et al 2005, Maurrasse 1986",,"Macrostrat gives age range of 13-23 Ma, and cites Maurasse's 1986 Stratigraphic chart for the circum-Caribbean region. Similar ostracod species to La Boca (subzone IIA and higher) and Caimito (in part) fms in Panama (Van den Bold 1972). Kirby et al 2008 put Subzone IIA in the upper Emperador lmst; the Emperador began at 21.2 and the Culebra (equivalent of what was previously all La Boca) ended at 19.1. Coates et al 2004 plot two sections of Uscari in a log, one from ca 5.5-8 and one from ca 12.5-18.",,
Costa Rica,Punta Carballo,,11.6,17.5,"Denyer et al 2003, Fischer and Aguilar 1995","Includes members in ascending order: Icaco, Mata de Limon, Roca Carballo (formerly the Punta Carballo but renamed to eliminate ambiguity with fm name), Paires.","Denyer et al review previous work on the Punta Carballo and map the unit for the first time. The Icaco mbr is local (but contains a few forams and ichnofossils), and the Mata de Limón and Paires mbrs are volcanic (includes lahars and petrified wood). The top unit (Roca Carballo) contains dense bivalve and gastropod fossil beds. Thus, although the Punta Carballo is as old as Lower Miocene in the Icaco and as young as Late Miocene in the Paires, fossils from the fm are probably in the Roca Carballo. This mbr is as old as N7 (17.5 Ma in Berggren et al 1995), and as young as unspecified Middle Miocene.",,
"Costa Rica, Panama",Armuelles,,0.117,0.78,"Ingle 1985, Corrigan et al 1990","Charco Azul unit was previously a fm underlying the Armuelles Fm (the framework of Olsson 1942 for example). Corrigan et al 1990 defined the Charco Azul fm to include 3 members, of which the Armuelles is the uppermost.","Armuelles is Late Pleistocene according to C et al 1990, but they put the Early-Late stage boundary at 1 Ma (it's now 0.78). They also discuss a few molluscs from the latest Early Pleistocene within the unit, even though in log plots it is put as Late Pleistocene only.",Graded contact with underlying Burica member of Charco Azul,
"Costa Rica, Panama",Charco Azul,Undifferentiated,0.117,5.3,"Ingle 1985, Corrigan et al 1990",,See notes for constituent units,,
"Costa Rica, Panama",Charco Azul,Armuelles,0.117,0.78,"Ingle 1985, Corrigan et al 1990","Charco Azul unit was previously a fm underlying the Armuelles Fm (the framework of Olsson 1942 for example). Corrigan et al 1990 defined the Charco Azul fm to include 3 members: Penita, Burrica, Armuelles (basal to top).","Armuelles is Late Pleistocene according to Corrigan et al 1990, but they put the Early-Late stage boundary at 1 Ma (it's now 0.78). They also discuss a few molluscs from the latest Early Pleistocene within the unit, even though in log plots it is put as Late Pleistocene only.",Graded contact with underlying Burica member of Charco Azul,
"Costa Rica, Panama",Charco Azul,Burrica,0.78,5.3,"Ingle 1985, Corrigan et al 1990","Charco Azul unit was previously a fm underlying the Armuelles Fm (the framework of Olsson 1942 for example). Corrigan et al 1990 defined the Charco Azul fm to include 3 members: Penita, Burrica, Armuelles (basal to top).",Pliocene through Early Pleistocene (Corrigan et al 1990).,Upper part of Punta La Chancha fm coeval to Burica mbr of Charco Azul fm(Corrigan et al 1990),
"Costa Rica, Panama",Charco Azul,Penita,4,5.3,"Ingle 1985, Corrigan et al 1990","Charco Azul unit was previously a fm overlying the Penita Fm (Coryell and Mossmani 1942). Corrigan et al 1990 defined the Charco Azul fm to include 3 members: Penita, Burrica, Armuelles (basal to top).","Corrigan et al 1990 state Early Pliocene age, but plot the end range as slightly older than the end-Pliocene (looks about 4 Ma, vs boundary at 3.6).",Lower part of Punta La Chancha fm coeval to Penita mbr of Charco Azul fm(Corrigan et al 1990),
"Costa Rica, Panama",Penita,,4,5.3,"Ingle 1985, Corrigan et al 1990","Note accent on n. Charco Azul unit was previously a fm overlying the Penita Fm (Coryell and Mossmani 1942). Corrigan et al 1990 defined the Charco Azul fm to include 3 members: Penita, Burrica, Armuelles (basal to top).","Corrigan et al 1990 state Early Pliocene age, but plot the end range as slightly older than the end-Pliocene (looks about 4 Ma, vs boundary at 3.6).",Lower part of Punta La Chancha fm coeval to Penita mbr of Charco Azul fm(Corrigan et al 1990),
Cuba,Cayo Piedras,Undifferentiated,0,0.781,Castellanos 2011; Franco et al 1992,"Members: Cerro Caudal, Cocodrilo, Guanal, Santa Isabel. Note that the Piedras Formation is an Eocene sequence in Cuba.","Middle Pleistocene (Franco et al 1992). Castellanos (2011) plotted Cocodrilo mbr (elevated as fm) as Upper Pleistocene, overlying Jaimantias. Franco's correlation of Santa Isabel with the La Cabana would suggest at least partially agreement with Castellanos, because La Cabana is Wisconsinin (late Upper Pleistocene). The Guanal mbr is the only mbr of the 4 in the fm that (by correlation) might extend earlier than the Wisconsinin, i.e. into the lower Late or Middle Pleistocene.","Correlated with La Cabana, Versalles, and Lopez Orta fms. Santa Isabel grades laterally into Cerro Caudal mbr. Cocodrilo overlies and laterally grades into the Guanal. Cerro Caudal also overlies Guanal. Implied correlation between the Cocodrilo and the La Cabana and Salado fms (Castellanos et al 2003, Castellanos 2011).",
